"","match_id","match_date","kick_off","home_score","away_score","match_status","match_status_360","last_updated","last_updated_360","match_week","competition.competition_id","competition.country_name","competition.competition_name","season.season_id","season.season_name","home_team.home_team_id","home_team.home_team_name","home_team.home_team_gender","home_team.home_team_group","home_team.country.id","home_team.country.name","away_team.away_team_id","away_team.away_team_name","away_team.away_team_gender","away_team.away_team_group","away_team.country.id","away_team.country.name","metadata.data_version","metadata.shot_fidelity_version","metadata.xy_fidelity_version","competition_stage.id","competition_stage.name","stadium.id","stadium.name","stadium.country.id","stadium.country.name","referee.id","referee.name","referee.country.id","referee.country.name"
"16",3788763,"2021-06-19","15:00:00.000",1,1,"available","available","2021-06-21T13:08:32.522","2021-09-22T16:40:01.281735",2,55,"Europe","UEFA Euro",43,"2020",916,"Hungary","male","Group F",103,"Hungary",771,"France","male","Group F",78,"France","1.1.0","2","2",10,"Group Stage",116551,"Puskás Aréna",103,"Hungary",1,"Michael Oliver",68,"England"
"17",3788759,"2021-06-18","21:00:00.000",0,0,"available","available","2021-07-14T12:59:48.602","2021-09-22T16:39:45.108967",2,55,"Europe","UEFA Euro",43,"2020",768,"England","male","Group D",68,"England",942,"Scotland","male","Group D",201,"Scotland","1.1.0","2","2",10,"Group Stage",4666,"Wembley Stadium",68,"England",180,"Antonio Miguel Mateu Lahoz",214,"Spain"
"18",3788758,"2021-06-17","15:00:00.000",2,1,"available","available","2021-06-19T12:31:42.085","2021-09-22T16:39:24.057039",2,55,"Europe","UEFA Euro",43,"2020",911,"Ukraine","male","Group C",238,"Ukraine",2358,"North Macedonia","male","Group C",135,"Macedonia, Republic of","1.1.0","2","2",10,"Group Stage",4365,"Arena Naţională",187,"Romania",1121,"Fernando Andrés Rapallini",11,"Argentina"
"19",3788757,"2021-06-17","18:00:00.000",1,2,"available","available","2021-07-24T16:17:22.251","2021-09-22T16:39:19.238605",2,55,"Europe","UEFA Euro",43,"2020",776,"Denmark","male","Group B",61,"Denmark",782,"Belgium","male","Group B",22,"Belgium","1.1.0","2","2",10,"Group Stage",495,"Parken",61,"Denmark",287,"Björn Kuipers",160,"Netherlands"
"20",3788745,"2021-06-13","15:00:00.000",1,0,"available","available","2021-07-19T16:25:28.955","2021-09-22T16:38:34.452309",1,55,"Europe","UEFA Euro",43,"2020",768,"England","male","Group D",68,"England",785,"Croatia","male","Group D",56,"Croatia","1.1.0","2","2",10,"Group Stage",4666,"Wembley Stadium",68,"England",269,"Daniele Orsato",112,"Italy"
"21",3788746,"2021-06-13","21:00:00.000",3,2,"available","available","2021-06-14T12:58:15.673","2021-09-22T16:38:23.709230",1,55,"Europe","UEFA Euro",43,"2020",941,"Netherlands","male","Group C",160,"Netherlands",911,"Ukraine","male","Group C",238,"Ukraine","1.1.0","2","2",10,"Group Stage",4815,"Johan Cruijff Arena (Amsterdam)",160,"Netherlands",186,"Felix Brych",85,"Germany"
"22",3794691,"2021-06-28","21:00:00.000",3,3,"available","available","2021-06-29T04:56:23.547","2021-09-22T16:40:50.520965",4,55,"Europe","UEFA Euro",43,"2020",771,"France","male",NA,78,"France",773,"Switzerland","male",NA,221,"Switzerland","1.1.0","2","2",33,"Round of 16",4365,"Arena Naţională",187,"Romania",1121,"Fernando Andrés Rapallini",11,"Argentina"
"23",3794690,"2021-06-27","18:00:00.000",0,2,"available","available","2021-06-28T12:45:34.881","2021-09-22T16:40:45.809899",4,55,"Europe","UEFA Euro",43,"2020",941,"Netherlands","male",NA,160,"Netherlands",912,"Czech Republic","male",NA,60,"Czech Republic","1.1.0","2","2",33,"Round of 16",116551,"Puskás Aréna",103,"Hungary",725,"Sergey Karasev",188,"Russia"
"24",3794689,"2021-06-26","18:00:00.000",0,4,"available","available","2021-08-10T14:33:01.831","2021-09-22T16:40:43.833676",4,55,"Europe","UEFA Euro",43,"2020",907,"Wales","male",NA,249,"Wales",776,"Denmark","male",NA,61,"Denmark","1.1.0","2","2",33,"Round of 16",4815,"Johan Cruijff Arena (Amsterdam)",160,"Netherlands",225,"Daniel Siebert",85,"Germany"
"25",3788769,"2021-06-21","21:00:00.000",1,4,"available","available","2021-07-15T14:05:30.270","2021-09-22T16:40:07.193964",3,55,"Europe","UEFA Euro",43,"2020",796,"Russia","male","Group B",188,"Russia",776,"Denmark","male","Group B",61,"Denmark","1.1.0","2","2",10,"Group Stage",495,"Parken",61,"Denmark",76,"Clément Turpin",78,"France"
"26",3788761,"2021-06-18","15:00:00.000",1,0,"available","available","2021-06-20T13:02:21.442","2021-09-22T16:39:35.442778",2,55,"Europe","UEFA Euro",43,"2020",790,"Sweden","male","Group E",220,"Sweden",908,"Slovakia","male","Group E",207,"Slovakia","1.1.0","2","2",10,"Group Stage",4726,"Saint-Petersburg Stadium",188,"Russia",225,"Daniel Siebert",85,"Germany"
"27",3788764,"2021-06-19","18:00:00.000",2,4,"available","available","2021-06-20T13:10:40.911","2021-09-22T16:39:51.835300",2,55,"Europe","UEFA Euro",43,"2020",780,"Portugal","male","Group F",183,"Portugal",770,"Germany","male","Group F",85,"Germany","1.1.0","2","2",10,"Group Stage",4867,"Allianz Arena",85,"Germany",8,"Anthony Taylor",68,"England"
"28",3788766,"2021-06-20","18:00:00.000",1,0,"available","available","2021-06-21T20:35:17.912","2021-09-22T16:40:03.894292",3,55,"Europe","UEFA Euro",43,"2020",914,"Italy","male","Group A",112,"Italy",907,"Wales","male","Group A",249,"Wales","1.1.0","2","2",10,"Group Stage",381,"Stadio Olimpico   ",112,"Italy",448,"Ovidiu Alin Hațegan",187,"Romania"
"29",3788754,"2021-06-16","21:00:00.000",3,0,"available","available","2021-06-17T13:24:15.990","2021-09-22T16:39:11.835841",2,55,"Europe","UEFA Euro",43,"2020",914,"Italy","male","Group A",112,"Italy",773,"Switzerland","male","Group A",221,"Switzerland","1.1.0","2","2",10,"Group Stage",381,"Stadio Olimpico   ",112,"Italy",725,"Sergey Karasev",188,"Russia"
"30",3788755,"2021-06-16","18:00:00.000",0,2,"available","available","2021-07-21T12:20:01.406","2021-09-22T16:39:15.401639",2,55,"Europe","UEFA Euro",43,"2020",909,"Turkey","male","Group A",233,"Turkey",907,"Wales","male","Group A",249,"Wales","1.1.0","2","2",10,"Group Stage",4549,"Bakı Olimpiya Stadionu",16,"Azerbaijan",2445,"Artur Manuel Ribeiro Soares Dias",183,"Portugal"
