"","match_id","team.name","player.id","player.name","position.name","type.name"
"1274",3794691,"Switzerland",7796,"Silvan Widmer","Right Wing Back","Starting XI"
"1275",3794691,"Switzerland",5548,"Steven Zuber","Left Wing Back","Starting XI"
"1276",3794691,"Switzerland",6983,"Remo Freuler","Right Defensive Midfield","Starting XI"
"1277",3794691,"Switzerland",3500,"Granit Xhaka","Left Defensive Midfield","Starting XI"
"1278",3794691,"Switzerland",3533,"Xherdan Shaqiri","Center Attacking Midfield","Starting XI"
"1279",3794691,"Switzerland",5545,"Breel-Donald Embolo","Right Center Forward","Starting XI"
"1280",3794691,"Switzerland",5543,"Haris Seferovic","Left Center Forward","Starting XI"
"1281",3794691,"Switzerland",5834,"Mario Gavranovic","Center Attacking Midfield","Substitution"
"1282",3794691,"Switzerland",16027,"Kevin Mbabu","Right Wing Back","Substitution"
"1283",3794691,"Switzerland",16022,"Christian Fassnacht","Left Wing Back","Substitution"
"1284",3794691,"Switzerland",30401,"Ruben Vargas","Right Center Forward","Substitution"
"1285",3794691,"Switzerland",8219,"Admir Mehmedi","Left Center Back","Substitution"
"1286",3794691,"Switzerland",5537,"Fabian Lukas Schär","Left Center Forward","Substitution"
"1287",3794691,"France",3099,"Hugo Lloris","Goalkeeper","Starting XI"
"1288",3794691,"France",5485,"Raphaël Varane","Right Center Back","Starting XI"
"1289",3794691,"France",6826,"Clément Lenglet","Center Back","Starting XI"
"1290",3794691,"France",2999,"Presnel Kimpembe","Left Center Back","Starting XI"
"1291",3794691,"France",5476,"Benjamin Pavard","Right Wing Back","Starting XI"
"1292",3794691,"France",3026,"Adrien Rabiot","Left Wing Back","Starting XI"
"1293",3794691,"France",20004,"Paul Pogba","Right Defensive Midfield","Starting XI"
"1294",3794691,"France",3961,"N''Golo Kanté","Left Defensive Midfield","Starting XI"
"1295",3794691,"France",5487,"Antoine Griezmann","Center Attacking Midfield","Starting XI"
"1296",3794691,"France",19677,"Karim Benzema","Right Center Forward","Starting XI"
"1297",3794691,"France",3009,"Kylian Mbappé Lottin","Left Center Forward","Starting XI"
"1298",3794691,"France",8217,"Kingsley Coman","Center Back","Substitution"
"1299",3794691,"France",3091,"Moussa Sissoko","Right Midfield","Substitution"
"1300",3794691,"France",3604,"Olivier Giroud","Right Center Forward","Substitution"
"1301",3794691,"France",2972,"Marcus Thuram","Left Midfield","Substitution"
"1302",3794688,"Germany",5570,"Manuel Neuer","Goalkeeper","Starting XI"
"1303",3794688,"Germany",8808,"Matthias Ginter","Right Center Back","Starting XI"
"1304",3794688,"Germany",5572,"Mats Hummels","Center Back","Starting XI"
"1305",3794688,"Germany",3167,"Antonio Rüdiger","Left Center Back","Starting XI"
"1306",3794688,"Germany",5579,"Joshua Kimmich","Right Wing Back","Starting XI"
"1307",3794688,"Germany",6985,"Robin Gosens","Left Wing Back","Starting XI"
"1308",3794688,"Germany",5574,"Toni Kroos","Right Defensive Midfield","Starting XI"
"1309",3794688,"Germany",6324,"Leon Goretzka","Left Defensive Midfield","Starting XI"
"1310",3794688,"Germany",8966,"Kai Havertz","Right Wing","Starting XI"
"1311",3794688,"Germany",5562,"Thomas Müller","Left Wing","Starting XI"
"1312",3794688,"Germany",5557,"Timo Werner","Center Forward","Starting XI"
"1313",3794688,"Germany",8400,"Serge Gnabry","Center Forward","Substitution"
"1314",3794688,"Germany",3493,"Emre Can","Right Center Back","Substitution"
"1315",3794688,"Germany",3053,"Leroy Sané","Left Wing Back","Substitution"
"1316",3794688,"Germany",39565,"Jamal Musiala","Left Wing","Substitution"
"1317",3794688,"England",3468,"Jordan Pickford","Goalkeeper","Starting XI"
"1318",3794688,"England",3205,"Kyle Walker","Right Center Back","Starting XI"
"1319",3794688,"England",3244,"John Stones","Center Back","Starting XI"
"1320",3794688,"England",3336,"Harry Maguire","Left Center Back","Starting XI"
"1321",3794688,"England",3308,"Kieran Trippier","Right Wing Back","Starting XI"
"1322",3794688,"England",3382,"Luke Shaw","Left Wing Back","Starting XI"
"1323",3794688,"England",4706,"Kalvin Phillips","Right Defensive Midfield","Starting XI"
"1324",3794688,"England",3943,"Declan Rice","Left Defensive Midfield","Starting XI"
"1325",3794688,"England",22084,"Bukayo Saka","Right Wing","Starting XI"
"1326",3794688,"England",3233,"Raheem Sterling","Left Wing","Starting XI"
"1327",3794688,"England",10955,"Harry Kane","Center Forward","Starting XI"
"1328",3794688,"England",9638,"Jack Grealish","Right Wing","Substitution"
"1329",3794688,"England",3532,"Jordan Brian Henderson","Left Defensive Midfield","Substitution"
"1330",3794688,"England",10955,"Harry Kane","Center Forward","Player On"
"1331",3794688,"England",3308,"Kieran Trippier","Right Wing Back","Player On"
"1332",3794692,"Ukraine",22243,"Heorhii Bushchan","Goalkeeper","Starting XI"
"1333",3794692,"Ukraine",39136,"Illia Zabarnyi","Right Center Back","Starting XI"
"1334",3794692,"Ukraine",18618,"Sergey Krivtsov","Center Back","Starting XI"
"1335",3794692,"Ukraine",18617,"Mykola Matviyenko","Left Center Back","Starting XI"
