"","competition_id","season_id","country_name","competition_name","competition_gender","competition_youth","competition_international","season_name","match_updated","match_updated_360","match_available_360","match_available"
"1",16,4,"Europe","Champions League","male",FALSE,FALSE,"2018/2019","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2021-07-09T14:06:05.802"
"2",16,1,"Europe","Champions League","male",FALSE,FALSE,"2017/2018","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2021-01-23T21:55:30.425330"
"3",16,2,"Europe","Champions League","male",FALSE,FALSE,"2016/2017","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"4",16,27,"Europe","Champions League","male",FALSE,FALSE,"2015/2016","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"5",16,26,"Europe","Champions League","male",FALSE,FALSE,"2014/2015","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"6",16,25,"Europe","Champions League","male",FALSE,FALSE,"2013/2014","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"7",16,24,"Europe","Champions League","male",FALSE,FALSE,"2012/2013","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2021-07-10T13:41:45.751"
"8",16,23,"Europe","Champions League","male",FALSE,FALSE,"2011/2012","2021-08-27T11:26:39.802832","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
"9",16,22,"Europe","Champions League","male",FALSE,FALSE,"2010/2011","2022-01-26T21:07:11.033473","2021-06-13T16:17:31.694",NA,"2022-01-26T21:07:11.033473"
"10",16,21,"Europe","Champions League","male",FALSE,FALSE,"2009/2010","2022-02-12T16:13:49.294747","2021-06-13T16:17:31.694",NA,"2022-02-12T16:13:49.294747"
"11",16,41,"Europe","Champions League","male",FALSE,FALSE,"2008/2009","2021-11-07T14:20:01.699993","2021-06-13T16:17:31.694",NA,"2021-11-07T14:20:01.699993"
"12",16,39,"Europe","Champions League","male",FALSE,FALSE,"2006/2007","2021-03-31T04:18:30.437060","2021-06-13T16:17:31.694",NA,"2021-03-31T04:18:30.437060"
"13",16,37,"Europe","Champions League","male",FALSE,FALSE,"2004/2005","2021-04-01T06:18:57.459032","2021-06-13T16:17:31.694",NA,"2021-04-01T06:18:57.459032"
"14",16,44,"Europe","Champions League","male",FALSE,FALSE,"2003/2004","2021-04-01T00:34:59.472485","2021-06-13T16:17:31.694",NA,"2021-04-01T00:34:59.472485"
"15",16,76,"Europe","Champions League","male",FALSE,FALSE,"1999/2000","2020-07-29T05:00","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
