"","match_id","team.id","team.name","jersey_number","player.id","player.name","position.id","position.name"
"1",3788741,909,"Turkey",23,30357,"Ugurcan Çakir",1,"Goalkeeper"
"2",3788741,909,"Turkey",2,10349,"Mehmet Zeki Çelik",2,"Right Back"
"3",3788741,909,"Turkey",3,23558,"Merih Demiral",3,"Right Center Back"
"4",3788741,909,"Turkey",4,8963,"Caglar Söyüncü",5,"Left Center Back"
"5",3788741,909,"Turkey",13,31042,"Cengiz Umut Meras",6,"Left Back"
"6",3788741,909,"Turkey",5,12555,"Okay Yokuslu",10,"Center Defensive Midfield"
"7",3788741,909,"Turkey",9,8541,"Kenan Karaman",12,"Right Midfield"
"8",3788741,909,"Turkey",11,29989,"Yusuf Yazici",13,"Right Center Midfield"
"9",3788741,909,"Turkey",6,11088,"Ozan Tufan",15,"Left Center Midfield"
"10",3788741,909,"Turkey",10,7039,"Hakan Çalhanoglu",16,"Left Midfield"
"11",3788741,909,"Turkey",17,11086,"Burak Yilmaz",23,"Center Forward"
"12",3788741,914,"Italy",21,7036,"Gianluigi Donnarumma",1,"Goalkeeper"
"13",3788741,914,"Italy",24,6964,"Alessandro Florenzi",2,"Right Back"
"14",3788741,914,"Italy",19,7173,"Leonardo Bonucci",3,"Right Center Back"
"15",3788741,914,"Italy",3,6954,"Giorgio Chiellini",5,"Left Center Back"
"16",3788741,914,"Italy",4,8286,"Leonardo Spinazzola",6,"Left Back"
"17",3788741,914,"Italy",8,7024,"Jorge Luiz Frello Filho",10,"Center Defensive Midfield"
"18",3788741,914,"Italy",18,8181,"Nicolò Barella",13,"Right Center Midfield"
"19",3788741,914,"Italy",5,7038,"Manuel Locatelli",15,"Left Center Midfield"
"20",3788741,914,"Italy",11,7131,"Domenico Berardi",17,"Right Wing"
"21",3788741,914,"Italy",10,7037,"Lorenzo Insigne",21,"Left Wing"
"22",3788741,914,"Italy",17,7788,"Ciro Immobile",23,"Center Forward"
"23",3788742,776,"Denmark",1,3815,"Kasper Schmeichel",1,"Goalkeeper"
"24",3788742,776,"Denmark",18,6797,"Daniel Wass",2,"Right Back"
"25",3788742,776,"Denmark",4,5534,"Simon Thorup Kjær",3,"Right Center Back"
"26",3788742,776,"Denmark",6,3959,"Andreas Christensen",5,"Left Center Back"
"27",3788742,776,"Denmark",5,16554,"Joakim Mæhle",6,"Left Back"
"28",3788742,776,"Denmark",23,3570,"Pierre-Emile Højbjerg",10,"Center Defensive Midfield"
"29",3788742,776,"Denmark",10,3043,"Christian Dannemann Eriksen",13,"Right Center Midfield"
"30",3788742,776,"Denmark",8,5527,"Thomas Delaney",15,"Left Center Midfield"
"31",3788742,776,"Denmark",20,5536,"Yussuf Yurary Poulsen",17,"Right Wing"
"32",3788742,776,"Denmark",9,4447,"Martin Braithwaite Christensen",21,"Left Wing"
"33",3788742,776,"Denmark",19,21261,"Jonas Older Wind",23,"Center Forward"
"34",3788742,1835,"Finland",1,8667,"Lukáš Hrádecký",1,"Goalkeeper"
