"","minute","cur_score_diff","n","n_future_goals","n_home_win","n_draw","n_home_loss","comp_id","season_id"
"2",0,0,3,0,0,0,3,16,4
"3",3,0,1,0,0,0,1,16,4
"4",8,0,1,0,0,0,1,16,4
"5",9,0,1,0,0,0,1,16,4
"6",11,0,1,0,0,0,1,16,4
"7",17,0,1,0,0,0,1,16,4
"8",18,0,1,0,0,0,1,16,4
"9",23,0,1,0,0,0,1,16,4
"10",28,0,1,0,0,0,1,16,4
"11",29,0,1,0,0,0,1,16,4
"12",39,0,1,0,0,0,1,16,4
"13",45,0,2,0,0,0,2,16,4
"14",47,0,1,0,0,0,1,16,4
"15",49,0,1,0,0,0,1,16,4
"16",53,0,1,0,0,0,1,16,4
"17",54,0,2,0,0,0,2,16,4
"18",56,0,1,0,0,0,1,16,4
"19",57,0,1,0,0,0,1,16,4
"20",60,0,1,0,0,0,1,16,4
"21",62,0,1,0,0,0,1,16,4
"22",64,0,1,0,0,0,1,16,4
"23",65,0,2,0,0,0,2,16,4
"24",72,0,1,0,0,0,1,16,4
"25",73,0,1,0,0,0,1,16,4
"26",74,0,1,0,0,0,1,16,4
"27",75,0,1,0,0,0,1,16,4
"28",78,0,1,0,0,0,1,16,4
"29",79,0,2,0,0,0,2,16,4
"30",80,0,1,0,0,0,1,16,4
"31",81,0,1,0,0,0,1,16,4
"32",82,0,2,0,0,0,2,16,4
"33",84,0,3,0,0,0,3,16,4
"34",91,-1,1,0,0,0,1,16,4
"35",92,-1,2,0,0,0,2,16,4
"36",95,-1,1,0,0,0,1,16,4
"37",0,0,3,9,3,0,0,16,1
"38",4,0,1,3,1,0,0,16,1
"39",7,0,1,3,1,0,0,16,1
"40",9,0,1,3,1,0,0,16,1
"41",10,0,1,3,1,0,0,16,1
"42",12,0,1,3,1,0,0,16,1
"43",13,0,1,3,1,0,0,16,1
"44",14,0,1,3,1,0,0,16,1
"45",20,0,1,3,1,0,0,16,1
"46",21,0,1,3,1,0,0,16,1
"47",24,0,2,6,2,0,0,16,1
"48",27,0,1,3,1,0,0,16,1
"49",28,0,1,3,1,0,0,16,1
"50",31,0,1,3,1,0,0,16,1
"51",32,0,2,6,2,0,0,16,1
"52",34,0,1,3,1,0,0,16,1
"53",36,0,1,3,1,0,0,16,1
"54",39,0,1,3,1,0,0,16,1
"55",42,0,2,6,2,0,0,16,1
"56",44,0,1,3,1,0,0,16,1
"57",45,0,1,3,1,0,0,16,1
"58",47,0,2,6,2,0,0,16,1
"59",48,0,2,6,2,0,0,16,1
"60",49,0,1,3,1,0,0,16,1
"61",50,1,1,2,1,0,0,16,1
"62",51,1,2,4,2,0,0,16,1
"63",55,0,1,2,1,0,0,16,1
"64",59,0,1,2,1,0,0,16,1
"65",60,0,1,2,1,0,0,16,1
"66",61,0,1,2,1,0,0,16,1
"67",63,1,1,1,1,0,0,16,1
"68",64,1,1,1,1,0,0,16,1
"69",73,1,1,1,1,0,0,16,1
"70",74,1,1,1,1,0,0,16,1
"71",81,1,2,2,2,0,0,16,1
"72",82,2,1,0,1,0,0,16,1
"73",86,2,1,0,1,0,0,16,1
"74",87,2,1,0,1,0,0,16,1
"75",88,2,2,0,2,0,0,16,1
"76",89,2,1,0,1,0,0,16,1
"77",90,2,1,0,1,0,0,16,1
"78",91,2,1,0,1,0,0,16,1
"79",92,2,2,0,2,0,0,16,1
"80",93,2,1,0,1,0,0,16,1
"81",0,0,3,3,0,0,3,16,2
"82",1,0,1,1,0,0,1,16,2
"83",2,0,1,1,0,0,1,16,2
"84",3,0,1,1,0,0,1,16,2
"85",6,0,3,3,0,0,3,16,2
"86",7,0,1,1,0,0,1,16,2
"87",9,0,1,1,0,0,1,16,2
