"","competition_id","season_id","match_id","time_bin","cur_home_score","cur_away_score","future_goals_home","future_goals_away","start_loc_x","start_loc_y","end_loc_x","end_loc_y"
"1",0,0,0,0,0,0,0,0,0,0,0,0
"2",2,44,3749358,0,0,0,0,4,60,40,118.5,44.2
"3",2,44,3749358,1,0,0,0,4,113,35.9,40,35.9
"4",2,44,3749358,2,0,0,0,4,25.3,18,31,51.1
"5",2,44,3749358,3,0,0,0,4,28.3,62.6,51.6,21.7
"6",2,44,3749358,4,0,0,0,4,51.2,21.9,3.7,39.6
"7",2,44,3749358,5,0,1,0,3,60,40,63.3,51.8
"8",2,44,3749358,6,0,1,0,3,64,52.2,81,17.3
"9",2,44,3749358,7,0,1,0,3,77,19.6,26.5,17.6
"10",2,44,3749358,8,0,1,0,3,26.7,18,70.1,72.6
"11",2,44,3749358,9,0,1,0,3,92.9,49.8,77.8,13.5
"12",2,44,3749358,10,0,1,0,3,82.4,14,30,30.8
"13",2,44,3749358,11,0,1,0,3,0,79.9,77.4,38.9
"14",2,44,3749358,12,0,1,0,3,10.1,10.6,1.9,39
"15",2,44,3749358,13,0,2,0,2,60,40,70.3,67.1
"16",2,44,3749358,14,0,2,0,2,54.9,58.9,64.4,51.3
"17",2,44,3749358,15,0,2,0,2,64.4,61,0.7,39.3
"18",2,44,3749358,16,0,2,0,2,6,36,40,2.90000000000001
"19",2,44,3749358,17,0,2,0,2,30.7,5.5,95.6,53.4
"20",2,44,3749358,18,0,2,0,2,55.5,45.1,76.1,29.6
"21",2,44,3749358,19,0,2,0,2,80,13.8,83.7,46.4
"22",2,44,3749358,20,0,2,0,2,83.1,46.2,1.8,41.7
"23",2,44,3749358,21,0,3,0,1,60,40,72.1,55.9
"24",2,44,3749358,22,0,3,0,1,96.5,53.8,74.1,25.6
"25",2,44,3749358,23,0,3,0,1,78.7,27.6,72.9,9.7
"26",2,44,3749358,24,0,3,0,1,77.7,12.2,65.4,71.7
"27",2,44,3749358,25,0,3,0,1,108.6,43.4,91.3,80
"28",2,44,3749358,26,0,3,0,1,76.2,74.4,73.2,5.1
"29",2,44,3749358,27,0,3,0,1,65.4,3.40000000000001,64.4,9.8
"30",2,44,3749358,28,0,3,0,1,93.7,34.3,118.4,38
"31",2,44,3749358,29,0,3,0,1,113,43.9,67.9,61.7
"32",2,44,3749358,30,0,3,0,1,53.1,64.1,61.2,43.1
"33",2,44,3749358,31,0,3,0,1,69.5,51.8,29.6,76.3
"34",2,44,3749358,32,0,3,0,1,34.2,79.9,71.6,56.2
"35",2,44,3749358,33,0,3,0,1,69.8,59.6,49.9,71.1
"36",2,44,3749358,34,0,3,0,1,39.2,64.7,21.9,75.3
"37",2,44,3749358,35,0,3,0,1,20.9,64.3,74.4,55.2
"38",2,44,3749358,36,0,3,0,1,74.5,59.2,110,41
"39",2,44,3749358,37,0,3,0,1,90.7,53.8,45.8,72.9
"40",2,44,3749358,38,0,3,0,1,12.5,65,53.1,18.3
"41",2,44,3749358,39,0,3,0,1,45.8,4,66.7,38.9
"42",2,44,3749358,40,0,3,0,1,55.4,43.1,70.8,67.7
"43",2,44,3749358,41,0,3,0,1,95.7,26,90.3,55
"44",2,44,3749358,42,0,3,0,1,95.6,55,106.1,76.2
"45",2,44,3749358,43,0,3,0,1,103.4,80,118.7,37.2
"46",2,44,3749358,44,0,3,0,1,113,35.9,53.3,52.1
"47",2,44,3749358,45,0,3,0,1,65.1,27.3,62,74.1
"48",2,44,3749358,46,0,3,0,1,75.2,59.1,111.2,43.9
"49",2,44,3749358,49,0,3,0,1,110.7,44.8,75.3,22.4
"50",2,44,3749358,50,0,3,0,1,69.1,40.8,17.2,24.7
"51",2,44,3749358,51,0,3,0,1,1.5,38.2,62.3,11.3
"52",2,44,3749358,52,0,3,0,1,69.9,0,56.2,5
"53",2,44,3749358,53,0,3,0,1,71.1,0.1,41.1,27.8
"54",2,44,3749358,54,0,3,0,1,36,26,34.7,9.6
"55",2,44,3749358,55,0,3,0,1,48.1,0,48.6,62.8
"56",2,44,3749358,56,0,3,0,1,45.2,54.7,104.3,77.5
"57",2,44,3749358,57,0,3,0,1,100.4,80,31.6,25.5
"58",2,44,3749358,58,0,3,0,1,39.9,68.5,4.7,35.1
"59",2,44,3749358,59,0,4,0,0,61,40.1,57.8,38.9
"60",2,44,3749358,60,0,4,0,0,71.1,47,82.1,21.2
"61",2,44,3749358,61,0,4,0,0,93.5,0.1,98.3,61
"62",2,44,3749358,62,0,4,0,0,90.4,61.5,84.3,42.3
"63",2,44,3749358,63,0,4,0,0,78.5,44,14.8,31.4
"64",2,44,3749358,64,0,4,0,0,41.2,0,112.1,66
"65",2,44,3749358,65,0,4,0,0,117.5,74.8,79.1,68.7
"66",2,44,3749358,66,0,4,0,0,96.2,4.8,20.8,28
"67",2,44,3749358,67,0,4,0,0,45.7,40.5,79.7,52.7
"68",2,44,3749358,68,0,4,0,0,74.5,48.7,85.4,4.4
"69",2,44,3749358,69,0,4,0,0,82.8,17.5,53.8,21.2
"70",2,44,3749358,70,0,4,0,0,53.8,58,83.9,43.8
"71",2,44,3749358,71,0,4,0,0,82.3,46.5,106,25.7
"72",2,44,3749358,72,0,4,0,0,96.2,30.7,84.2,3.7
"73",2,44,3749358,73,0,4,0,0,86.9,0.1,117.4,44.8
"74",2,44,3749358,74,0,4,0,0,114,44,69.7,10.5
"75",2,44,3749358,75,0,4,0,0,22.8,11.8,75.1,40.2
"76",2,44,3749358,76,0,4,0,0,77,30.3,95.1,41.8
"77",2,44,3749358,77,0,4,0,0,96.6,48.6,51.1,16.3
"78",2,44,3749358,78,0,4,0,0,33.5,28.7,62.6,59.7
"79",2,44,3749358,79,0,4,0,0,64.8,8.8,53.7,52.8
"80",2,44,3749358,80,0,4,0,0,61,78,66.5,79.9
"81",2,44,3749358,81,0,4,0,0,63.9,79,67.6,6.4
"82",2,44,3749358,82,0,4,0,0,70.8,22.4,116.9,26.2
"83",2,44,3749358,83,0,4,0,0,96.3,51.3,39,37.4
"84",2,44,3749358,84,0,4,0,0,37.9,72.3,88.5,58.5
"85",2,44,3749358,85,0,4,0,0,66.6,80,53.1,69
"86",2,44,3749358,86,0,4,0,0,33.4,43.8,61.8,70.9
"87",2,44,3749358,87,0,4,0,0,52.8,68.7,24.3,7.59999999999999
"88",2,44,3749358,88,0,4,0,0,7,36.1,108.6,9.7
"89",2,44,3749358,89,0,4,0,0,108.6,9.7,112.6,74.4
"90",2,44,3749462,0,0,0,0,0,59,39.9,77,6.7
"91",2,44,3749462,1,0,0,0,0,72.9,7.1,52.3,27.1
"92",2,44,3749462,2,0,0,0,0,42,64.3,91.6,19.3
"93",2,44,3749462,3,0,0,0,0,97.3,16.3,60.3,39.7
"94",2,44,3749462,4,0,0,0,0,64.7,40.5,85.4,14
"95",2,44,3749462,5,0,0,0,0,92.5,18.7,118.1,40.8
"96",2,44,3749462,6,0,0,0,0,113,43.9,118.3,40.7
"97",2,44,3749462,7,0,0,0,0,113,35.9,28.6,58.7
"98",2,44,3749462,8,0,0,0,0,41.4,58,83.5,34
"99",2,44,3749462,9,0,0,0,0,76.7,71.4,49.6,71.9
"100",2,44,3749462,10,0,0,0,0,54.8,65.2,33.3,47.3
"101",2,44,3749462,11,0,0,0,0,43,59.3,94.9,27.7
"102",2,44,3749462,12,0,0,0,0,12.8,33.5,71.9,6
"103",2,44,3749462,13,0,0,0,0,84.5,0,4.1,38.9
"104",2,44,3749462,14,0,0,0,0,9.1,38.6,69.9,12.2
"105",2,44,3749462,15,0,0,0,0,68.1,5.7,75.4,60.6
"106",2,44,3749462,16,0,0,0,0,75.9,63.4,62.3,21.7
"107",2,44,3749462,17,0,0,0,0,71.6,15.1,83.8,46.8
"108",2,44,3749462,18,0,0,0,0,95.2,63.9,70.2,64.7
"109",2,44,3749462,19,0,0,0,0,72.5,62.3,78.2,50
"110",2,44,3749462,20,0,0,0,0,104.3,46,95.5,29.7
"111",2,44,3749462,21,0,0,0,0,95.7,36.3,78.9,71.7
"112",2,44,3749462,22,0,0,0,0,76.3,71.5,84.6,29.9
"113",2,44,3749462,23,0,0,0,0,117.8,40,71.6,41.1
"114",2,44,3749462,24,0,0,0,0,71.4,21.7,49.6,69.1
"115",2,44,3749462,25,0,0,0,0,20.6,22.4,36.9,24.5
"116",2,44,3749462,26,0,0,0,0,36.2,32,80.8,16.5
"117",2,44,3749462,27,0,0,0,0,66.2,10.2,65.2,9
"118",2,44,3749462,28,0,0,0,0,65.8,9.5,37,12.9
"119",2,44,3749462,29,0,0,0,0,34,16.5,15.2,66.2
"120",2,44,3749462,30,0,0,0,0,25.7,59.8,29.8,60.7
"121",2,44,3749462,31,0,0,0,0,6.9,42.9,51,16.4
"122",2,44,3749462,32,0,0,0,0,40.5,25.6,23.7,26.1
"123",2,44,3749462,33,0,0,0,0,26.7,30.6,118.7,40.1
"124",2,44,3749462,34,0,0,0,0,113,35.9,53.7,38.4
"125",2,44,3749462,35,0,0,0,0,49.5,70.3,118.4,39.3
"126",2,44,3749462,36,0,0,0,0,113,35.9,110.6,13.4
"127",2,44,3749462,37,0,0,0,0,106.3,79.9,102.8,21.4
"128",2,44,3749462,38,0,0,0,0,104.1,24.2,56.5,20.9
"129",2,44,3749462,39,0,0,0,0,58.5,22.2,90.7,51.2
"130",2,44,3749462,40,0,0,0,0,69.5,54.6,94.3,48
"131",2,44,3749462,41,0,0,0,0,72.3,32.3,113.8,35.1
"132",2,44,3749462,42,0,0,0,0,108.8,28.7,87.4,24
"133",2,44,3749462,43,0,0,0,0,70.4,0.1,106.6,27.1
"134",2,44,3749462,44,0,0,0,0,98.6,27.9,54.6,60.5
"135",2,44,3749462,45,0,0,0,0,61,40.1,60.2,42.8
"136",2,44,3749462,46,0,0,0,0,57,14.9,66.6,17.5
"137",2,44,3749462,47,0,0,0,0,26.5,65.6,47.8,78.5
"138",2,44,3749462,48,0,0,0,0,48.7,75.7,4.4,77
"139",2,44,3749462,49,0,0,0,0,25.1,79.9,75.1,4.7
"140",2,44,3749462,50,0,0,0,0,75.9,8.2,72.2,25.8
"141",2,44,3749462,51,0,0,0,0,64.9,30,87.9,49.7
"142",2,44,3749462,52,0,0,0,0,84.7,46.6,47.7,18.6
"143",2,44,3749462,53,0,0,0,0,66.3,24.9,8.4,46.7
"144",2,44,3749462,54,0,0,0,0,34.4,10.7,56.6,26.5
"145",2,44,3749462,55,0,0,0,0,56.1,35.9,118.7,39.6
"146",2,44,3749462,56,0,0,0,0,114,44,54.7,56.7
"147",2,44,3749462,57,0,0,0,0,56.5,46.1,113.8,43.8
"148",2,44,3749462,58,0,0,0,0,114,44,82.9,14.9
"149",2,44,3749462,59,0,0,0,0,84.8,12,46.3,54.4
"150",2,44,3749462,60,0,0,0,0,63.9,45,119.4,61.2
"151",2,44,3749462,61,0,0,0,0,114,44,86.8,41.9
"152",2,44,3749462,62,0,0,0,0,86.8,43.3,11.7,57
"153",2,44,3749462,63,0,0,0,0,14.5,56.4,115.4,25
"154",2,44,3749462,64,0,0,0,0,120,0.1,11,34.1
"155",2,44,3749462,65,0,0,0,0,8.4,31.8,68.1,57.8
"156",2,44,3749462,66,0,0,0,0,67.6,55.9,66.6,73.5
"157",2,44,3749462,67,0,0,0,0,75.9,80,49.1,58.7
"158",2,44,3749462,68,0,0,0,0,35.7,11.4,85,56.2
"159",2,44,3749462,69,0,0,0,0,83.3,56.6,48.6,20.9
"160",2,44,3749462,70,0,0,0,0,50.3,17.2,39.5,76.6
"161",2,44,3749462,71,0,0,0,0,10,69.6,29.9,15.2
"162",2,44,3749462,72,0,0,0,0,28.2,14.3,70.4,77.3
"163",2,44,3749462,73,0,0,0,0,79.4,68.3,105.9,20.8
"164",2,44,3749462,74,0,0,0,0,114,36,89.1,59.5
"165",2,44,3749462,75,0,0,0,0,111.6,45.6,57,45.3
"166",2,44,3749462,76,0,0,0,0,64.7,55.8,67.3,75.5
"167",2,44,3749462,77,0,0,0,0,24.1,80,79.4,50.1
"168",2,44,3749462,78,0,0,0,0,114,36,63.3,51.2
"169",2,44,3749462,79,0,0,0,0,63,49.8,76.3,44.7
"170",2,44,3749462,80,0,0,0,0,76.3,44.2,64.4,80
"171",2,44,3749462,81,0,0,0,0,66.5,72.9,113.9,38.2
"172",2,44,3749462,82,0,0,0,0,120,0.1,117.4,40
"173",2,44,3749462,83,0,0,0,0,110.2,32.9,115.1,38.2
"174",2,44,3749462,84,0,0,0,0,104.9,28,49,53.6
"175",2,44,3749462,85,0,0,0,0,57.1,43.6,92.2,52.6
"176",2,44,3749462,86,0,0,0,0,92.1,80,69.6,8.3
"177",2,44,3749462,87,0,0,0,0,65,18.6,81.6,39.7
"178",2,44,3749462,88,0,0,0,0,43.9,0.1,113.9,36.8
"179",2,44,3749462,89,0,0,0,0,107.4,30.9,83.5,60
"180",2,44,3749465,0,0,0,0,2,61,40.1,22.7,32.7
"181",2,44,3749465,1,0,0,0,2,10.9,36.1,97.1,58.8
"182",2,44,3749465,2,0,0,0,2,97.1,58.8,5.7,69.4
"183",2,44,3749465,3,0,0,0,2,15.3,60.3,80.6,14.2
"184",2,44,3749465,4,0,0,0,2,83.3,14,118.8,39.8
"185",2,44,3749465,6,0,0,0,2,114,44,61.2,55.8
"186",2,44,3749465,7,0,0,0,2,90.2,23.8,120,80
"187",2,44,3749465,8,0,0,0,2,115.8,43.8,59.9,77.4
"188",2,44,3749465,9,0,0,0,2,56.8,77.9,61.1,45.1
"189",2,44,3749465,10,0,0,0,2,25.5,58.9,36.5,61.4
"190",2,44,3749465,11,0,0,0,2,42.7,58,30.2,66
"191",2,44,3749465,12,0,0,0,2,43.8,64.9,106.1,32.3
"192",2,44,3749465,13,0,0,0,2,104.1,30.3,55.9,39.7
"193",2,44,3749465,14,0,0,0,2,55.9,39.7,44.6,31.2
"194",2,44,3749465,15,0,0,0,2,41.9,31.7,19.6,17.3
"195",2,44,3749465,16,0,0,0,2,7.2,7.1,58.1,10.7
"196",2,44,3749465,17,0,0,0,2,108.1,0,13.4,74.8
"197",2,44,3749465,18,0,0,0,2,5.59999999999999,28.4,30.7,55.9
"198",2,44,3749465,19,0,0,0,2,28.7,50.8,40.8,73.1
"199",2,44,3749465,20,0,0,0,2,45.6,78.3,65.2,9.3
"200",2,44,3749465,21,0,0,0,2,62.4,0.1,50,59.1
"201",2,44,3749465,22,0,0,0,2,37.2,76.1,58.5,76.1
