"","competition_id","season_id","match_id","time_bin","cur_home_score","cur_away_score","future_goals_home","future_goals_away","start_loc_x","start_loc_y","end_loc_x","end_loc_y"
"1",0,0,0,0,0,0,0,0,0,0,0,0
"2",49,3,7494,0,0,0,1,2,60,40,102,8
"3",49,3,7494,1,0,0,1,2,88,75,117,23
"4",49,3,7494,2,0,0,1,2,120,1,96,78
"5",49,3,7494,3,0,0,1,2,101,80,95,73
"6",49,3,7494,4,0,0,1,2,91,74,4,41
"7",49,3,7494,5,0,0,1,2,18,35,64,41
"8",49,3,7494,6,0,0,1,2,61,52,29,21
"9",49,3,7494,7,0,0,1,2,26,13,17,40
"10",49,3,7494,8,0,0,1,2,70,60,111,74
"11",49,3,7494,9,0,0,1,2,103,71,64,55
"12",49,3,7494,10,0,0,1,2,53,52,44,67
"13",49,3,7494,11,0,0,1,2,31,67,39,6
"14",49,3,7494,12,0,0,1,2,34,7,16,26
"15",49,3,7494,13,0,0,1,2,17,22,85,45
"16",49,3,7494,14,0,0,1,2,96,33,53,49
"17",49,3,7494,15,0,0,1,2,50,42,43,63
"18",49,3,7494,16,0,0,1,2,50,15,50,6
"19",49,3,7494,17,0,0,1,2,24,18,118,40
"20",49,3,7494,18,0,0,1,2,80,48,82,49
"21",49,3,7494,19,0,0,1,2,69,43,65,43
"22",49,3,7494,20,0,0,1,2,74,29,13,14
"23",49,3,7494,21,0,0,1,2,40,13,16,54
"24",49,3,7494,22,0,0,1,2,7,41,31,6
"25",49,3,7494,23,0,0,1,2,34,0,27,8
"26",49,3,7494,24,0,0,1,2,17,15,18,13
"27",49,3,7494,25,0,0,1,2,64,19,67,29
"28",49,3,7494,26,0,0,1,2,61,19,62,37
"29",49,3,7494,27,0,0,1,2,59,35,114,28
"30",49,3,7494,28,0,0,1,2,107,33,37,77
"31",49,3,7494,29,0,0,1,2,29,75,74,69
"32",49,3,7494,30,0,0,1,2,72,76,104,40
"33",49,3,7494,31,0,0,1,2,112,65,42,38
"34",49,3,7494,32,0,0,1,2,44,32,62,49
"35",49,3,7494,33,0,0,1,2,59,52,104,44
"36",49,3,7494,34,0,0,1,2,88,45,52,7
"37",49,3,7494,35,0,0,1,2,41,17,83,54
"38",49,3,7494,37,0,0,1,2,83,54,119,38
"39",49,3,7494,38,1,0,0,2,65,40,31,33
"40",49,3,7494,39,1,0,0,2,20,28,63,24
"41",49,3,7494,40,1,0,0,2,66,26,67,63
"42",49,3,7494,41,1,0,0,2,56,61,57,28
"43",49,3,7494,42,1,0,0,2,58,4,26,49
"44",49,3,7494,43,1,0,0,2,41,48,16,74
"45",49,3,7494,44,1,0,0,2,11,70,32,14
"46",49,3,7494,45,1,0,0,2,18,3,54,15
"47",49,3,7494,46,1,0,0,2,51,16,58,48
"48",49,3,7494,47,1,0,0,2,104,75,46,19
"49",49,3,7494,48,1,0,0,2,36,20,31,18
"50",49,3,7494,49,1,0,0,2,41,41,117,70
"51",49,3,7494,50,1,0,0,2,82,23,1,53
"52",49,3,7494,51,1,0,0,2,0,79,1,40
"53",49,3,7494,52,1,0,0,2,47,58,3,51
"54",49,3,7494,53,1,0,0,2,16,51,98,50
"55",49,3,7494,54,1,0,0,2,97,49,88,52
"56",49,3,7494,55,1,0,0,2,80,41,29,25
"57",49,3,7494,56,1,0,0,2,26,18,28,28
"58",49,3,7494,57,1,0,0,2,23,8,108,60
"59",49,3,7494,58,1,0,0,2,60,53,43,59
"60",49,3,7494,59,1,0,0,2,43,59,115,44
"61",49,3,7494,60,1,0,0,2,120,80,62,36
"62",49,3,7494,61,1,0,0,2,57,37,117,39
"63",49,3,7494,62,1,0,0,2,89,45,16,74
"64",49,3,7494,63,1,0,0,2,42,50,89,40
"65",49,3,7494,64,1,0,0,2,95,25,2,51
"66",49,3,7494,65,1,0,0,2,61,65,118,39
"67",49,3,7494,66,1,0,0,2,68,21,117,40
"68",49,3,7494,67,1,0,0,2,79,27,79,9
"69",49,3,7494,68,1,0,0,2,88,3,51,61
"70",49,3,7494,69,1,0,0,2,52,65,62,67
"71",49,3,7494,70,1,0,0,2,58,63,49,64
"72",49,3,7494,71,1,0,0,2,45,80,5,34
"73",49,3,7494,72,1,1,0,1,54,63,58,45
"74",49,3,7494,73,1,1,0,1,78,24,42,19
"75",49,3,7494,74,1,1,0,1,63,16,55,48
"76",49,3,7494,75,1,1,0,1,64,46,65,20
"77",49,3,7494,76,1,1,0,1,37,49,56,35
"78",49,3,7494,77,1,1,0,1,64,46,7,40
"79",49,3,7494,78,1,2,0,0,48,31,94,3
"80",49,3,7494,79,1,2,0,0,91,1,85,48
"81",49,3,7494,80,1,2,0,0,80,50,77,3
"82",49,3,7494,81,1,2,0,0,73,0,1,69
"83",49,3,7494,82,1,2,0,0,10,51,116,39
"84",49,3,7494,83,1,2,0,0,113,39,1,24
"85",49,3,7494,84,1,2,0,0,0,0,54,18
"86",49,3,7494,85,1,2,0,0,66,12,79,2
"87",49,3,7494,86,1,2,0,0,72,2,39,13
"88",49,3,7494,87,1,2,0,0,42,11,47,17
"89",49,3,7494,89,1,2,0,0,49,1,104,6
"90",49,3,7482,0,0,0,2,0,60,40,87,52
"91",49,3,7482,1,0,0,2,0,108,56,48,40
"92",49,3,7482,2,0,0,2,0,43,44,110,41
"93",49,3,7482,3,0,0,2,0,89,70,31,57
"94",49,3,7482,4,0,0,2,0,23,57,37,45
"95",49,3,7482,5,0,0,2,0,58,26,109,53
"96",49,3,7482,6,0,0,2,0,110,60,49,36
"97",49,3,7482,7,0,0,2,0,62,18,80,14
"98",49,3,7482,8,0,0,2,0,77,15,3,39
"99",49,3,7482,9,0,0,2,0,56,13,97,14
"100",49,3,7482,10,0,0,2,0,92,0,118,37
"101",49,3,7482,11,1,0,1,0,51,10,101,73
"102",49,3,7482,12,1,0,1,0,114,40,34,40
"103",49,3,7482,13,1,0,1,0,32,33,48,17
"104",49,3,7482,14,1,0,1,0,49,30,44,10
"105",49,3,7482,15,1,0,1,0,51,24,119,42
"106",49,3,7482,16,1,0,1,0,56,57,46,46
"107",49,3,7482,17,1,0,1,0,48,47,110,64
"108",49,3,7482,18,1,0,1,0,114,40,15,44
"109",49,3,7482,19,1,0,1,0,21,56,102,44
"110",49,3,7482,20,1,0,1,0,99,31,118,41
"111",49,3,7482,21,1,0,1,0,114,40,95,33
"112",49,3,7482,22,1,0,1,0,100,29,56,55
"113",49,3,7482,23,1,0,1,0,47,65,109,9
"114",49,3,7482,24,1,0,1,0,105,17,78,69
"115",49,3,7482,25,1,0,1,0,84,60,105,54
"116",49,3,7482,26,1,0,1,0,99,49,58,25
"117",49,3,7482,27,1,0,1,0,54,11,75,69
"118",49,3,7482,28,1,0,1,0,113,45,48,21
"119",49,3,7482,29,1,0,1,0,45,13,76,29
"120",49,3,7482,30,1,0,1,0,74,23,10,7
"121",49,3,7482,32,1,0,1,0,10,1,117,28
"122",49,3,7482,33,1,0,1,0,120,1,112,46
"123",49,3,7482,34,1,0,1,0,75,54,79,76
"124",49,3,7482,35,1,0,1,0,71,68,46,34
"125",49,3,7482,36,1,0,1,0,43,36,79,4
"126",49,3,7482,37,1,0,1,0,66,14,9,52
"127",49,3,7482,38,1,0,1,0,17,79,90,14
"128",49,3,7482,39,1,0,1,0,94,0,32,76
"129",49,3,7482,40,1,0,1,0,66,73,73,18
"130",49,3,7482,41,1,0,1,0,92,0,114,40
"131",49,3,7482,42,1,0,1,0,72,55,120,29
"132",49,3,7482,43,1,0,1,0,78,24,34,26
"133",49,3,7482,44,1,0,1,0,97,11,55,44
"134",49,3,7482,45,1,0,1,0,54,64,93,58
"135",49,3,7482,46,1,0,1,0,105,56,3,28
"136",49,3,7482,47,1,0,1,0,0,0,60,2
"137",49,3,7482,48,1,0,1,0,58,17,98,69
"138",49,3,7482,49,1,0,1,0,93,58,113,39
"139",49,3,7482,50,1,0,1,0,62,29,117,39
"140",49,3,7482,51,1,0,1,0,113,39,8,68
"141",49,3,7482,52,1,0,1,0,8,68,109,10
"142",49,3,7482,53,1,0,1,0,117,11,54,20
"143",49,3,7482,54,1,0,1,0,65,39,18,16
"144",49,3,7482,55,1,0,1,0,19,21,114,38
"145",49,3,7482,56,1,0,1,0,113,39,50,20
"146",49,3,7482,57,1,0,1,0,49,20,15,45
"147",49,3,7482,58,1,0,1,0,38,67,117,40
"148",49,3,7482,59,2,0,0,0,59,39,83,70
"149",49,3,7482,60,2,0,0,0,79,60,64,63
"150",49,3,7482,61,2,0,0,0,40,69,117,39
"151",49,3,7482,62,2,0,0,0,113,39,86,38
"152",49,3,7482,63,2,0,0,0,86,38,70,16
"153",49,3,7482,64,2,0,0,0,72,17,117,74
"154",49,3,7482,65,2,0,0,0,89,69,68,7
"155",49,3,7482,66,2,0,0,0,73,7,44,21
"156",49,3,7482,67,2,0,0,0,113,39,118,39
"157",49,3,7482,68,2,0,0,0,113,39,12,32
"158",49,3,7482,69,2,0,0,0,12,32,104,48
"159",49,3,7482,70,2,0,0,0,115,48,46,71
"160",49,3,7482,71,2,0,0,0,89,51,49,61
"161",49,3,7482,72,2,0,0,0,83,47,103,32
"162",49,3,7482,73,2,0,0,0,13,6,96,56
"163",49,3,7482,74,2,0,0,0,111,80,34,54
"164",49,3,7482,75,2,0,0,0,34,54,1,40
"165",49,3,7482,76,2,0,0,0,41,76,43,42
"166",49,3,7482,77,2,0,0,0,68,40,69,44
"167",49,3,7482,78,2,0,0,0,84,39,38,58
"168",49,3,7482,79,2,0,0,0,40,62,16,46
"169",49,3,7482,80,2,0,0,0,88,79,5,38
"170",49,3,7482,81,2,0,0,0,0,0,20,37
"171",49,3,7482,82,2,0,0,0,71,55,91,72
"172",49,3,7482,83,2,0,0,0,92,80,112,64
"173",49,3,7482,84,2,0,0,0,111,80,94,1
"174",49,3,7482,85,2,0,0,0,82,1,94,42
